ownerName,name,_id,Address,city,state,capacity,Registration Date,Registration Valid Upto,phoneNo,Status,
Maharashtra State Warehousing Corporation,MSWC DONDAICHA WANI ROAD,6575104,"S. No. 8/2, 9/2, 9/1 Vani Road Warvade, Shivar",Dhule,MAHARASHTRA,14576,15-May-22,14-May-27,8551041333,Active,
Maharashtra State Warehousing Corporation,MSWC Karjat,6589329,"Maharashtra State Warehousing Corporation, Dahivali Krushi Utpanna Bazar Samiti, Market Yard",Raigarh,MAHARASHTRA,1450,01-Jun-22,31-May-27,9137308234,Active,
Maharashtra State Warehousing Corporation,"MAHARASHTRA STATE WAREHOUSING CORPORATION, NANDED-CITY",6634505,"NANDED-HINGOLI ROAD, VASANT NAGER",Nanded,MAHARASHTRA,5640,23-Sep-22,22-Sep-27,9823426019,Active,
Maharashtra State Warehousing Corporation,MSWC Akluj,6603005,"Marketyard, Akluj,",Solapur,MAHARASHTRA,8600,19-Jul-22,18-Jul-27,7387672472,Active,
Maharashtra State Warehousing Corporation,"Maharashtra State Warehousing Corporation, Pusad",6633606,"Dhankeshwar Road, Washim Road,",Yavatmal,MAHARASHTRA,8000,22-Sep-22,21-Sep-27,9767960097,Active,
Maharashtra State Warehousing Corporation,"Maharashtra State Warehousing Corporation, Wardha MIDC",6634059,"MIDC Area, Sewagram Road, Wardha MIDC",Wardha,MAHARASHTRA,15000,22-Sep-22,21-Sep-27,9421852599,Active,
Maharashtra State Warehousing Corporation,"Maharashtra State Warehousing Corporation, Telhara",6576722,"APMC, Market Yar, Telhara,",Akola,MAHARASHTRA,4800,23-May-22,22-May-27,8788101807,Active,
Maharashtra State Warehousing Corporation,Maharashtra State Warehousing Corporation Karanja Gahadge,6583470,"Agricultar Produce Market Committee, Nagpur Road Karanja Gahadge,",Wardha,MAHARASHTRA,5220,29-May-22,28-May-27,9689977551,Active,
Maharashtra State Warehousing Corporation,MSWC Solapur,6593735,"PLOT NO.8, SIDDHESHWAR MARKET YARD,",Solapur,MAHARASHTRA,5400,13-Jun-22,12-Jun-27,9960243003,Active,
Maharashtra State Warehousing Corporation,"Maharashtra State Warehousing Corporation, Achalpur",6633960,"APMC, Market Yard, Achalpur,",Amravati,MAHARASHTRA,5000,22-Sep-22,21-Sep-27,9604743185,Active,
Maharashtra State Warehousing Corporation,"Maharashtra State Warehousing Corporation, Akot",6581581,"APMC, Market Yard, Akot,",Akola,MAHARASHTRA,3870,28-May-22,27-May-27,9146938353,Active,
Maharashtra State Warehousing Corporation,"Maharashtra State Warehousing Corporation, Nandgaon Kh.",6582217,"APMC, Market Yard, Amravati Road, Nadgaon Khandeshwar,",Amravati,MAHARASHTRA,3600,28-May-22,27-May-27,8208231129,Active,
Maharashtra State Warehousing Corporation,"Maharashtra State Warehousing Corporation, Mehekar",6589055,"APMC, Market Yard, Dongaon Road, Mehekar,",Buldana,MAHARASHTRA,10000,01-Jun-22,31-May-27,9881751896,Active,
Maharashtra State Warehousing Corporation,"Maharashtra State Warehousing Corporation, Murtizapur",6581227,"N.H.-6, Near Yavatmal Railway Crossing, Murtizapur,",Akola,MAHARASHTRA,17650,26-May-22,25-May-27,9422862537,Active,
Maharashtra State Warehousing Corporation,MSWC Newasa MIDC,6594188,"Pandharipool,",Ahmadnagar,MAHARASHTRA,2800,13-Jun-22,12-Jun-27,8956103577,Active,
Maharashtra State Warehousing Corporation,MSWC Kopergaon,6594097,"APMC MARKET YARD KOPARGAON,",Ahmadnagar,MAHARASHTRA,8360,13-Jun-22,12-Jun-27,9604771005,Active,
